City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,hamilton,39.1834,-84.5333,15.43,61,56,5.36,US,1696645245
116,gornozavodsk,58.3758,58.3211,4.17,98,45,1.73,RU,1696645479
117,kapuskasing,49.4169,-82.4331,8.05,87,20,3.09,CA,1696645479
118,okhotsk,59.3833,143.3,3.96,86,0,6.7,RU,1696645479
119,aasiaat,68.7098,-52.8699,1.99,96,100,9.88,GL,1696645479
120,kourou,5.1552,-52.6478,28.03,83,84,3.76,GF,1696645479
121,guercif,34.2257,-3.3536,23.18,32,78,2.57,MA,1696645479
122,maxixe,-23.8597,35.3472,21.46,91,0,2.62,MZ,1696645479
123,al bayda',32.7627,21.7551,17.2,83,47,4.74,LY,1696645480
124,penzance,50.1186,-5.5371,16.38,90,25,5.46,GB,1696644991
125,nguigmi,14.2495,13.1092,27.23,49,58,3.62,NE,1696645480
126,talnakh,69.4865,88.3972,2.34,93,100,8.72,RU,1696645379
127,ebon,4.582,168.6964,28.81,76,37,3.28,MH,1696645480
128,pisco,-13.7,-76.2167,18.34,88,0,7.72,PE,1696645468
129,sur,22.5667,59.5289,28.92,54,4,2.29,OM,1696645480
130,yellowknife,62.456,-114.3525,2.45,100,100,3.6,CA,1696645481
131,eleskirt,39.8033,42.6736,7.34,54,16,2.12,TR,1696645481
132,san patricio,28.017,-97.5169,27.92,54,100,4.38,US,1696645481
133,crane,31.3974,-102.3501,22.98,37,100,3.44,US,1696645481
134,tangalle,6.024,80.7911,26.09,90,99,5.09,LK,1696645481
135,kapa'a,22.0752,-159.319,30.99,77,100,3.09,US,1696645481
136,hadibu,12.65,54.0333,26.23,81,28,2.31,YE,1696645482
137,tazacorte,28.629,-17.9293,23.54,73,0,3.09,ES,1696645482
138,harsud,22.1,76.7333,23.05,74,85,0.58,IN,1696645482
139,utrik,11.2278,169.8474,28.61,77,6,8.34,MH,1696645482
140,filingue,14.3521,3.3168,30.9,23,5,2.43,NE,1696645482
141,georgetown,5.4112,100.3354,28.96,83,20,3.13,MY,1696645345
142,papatowai,-46.5619,169.4708,9.32,56,77,4.79,NZ,1696645482
143,voinjama,8.4219,-9.7478,20.53,100,100,0.63,LR,1696645483
144,smithers,54.7804,-127.1743,13.18,88,75,2.06,CA,1696645483
145,odessa,46.4775,30.7326,13.44,47,2,2.48,UA,1696645475
146,pont rouge,48.8833,-72.0825,17.16,96,100,3.38,CA,1696645483
147,nikolayevsk-on-amure,53.1406,140.73,8.42,57,34,2.78,RU,1696645483
148,sertania,-8.0736,-37.2644,22.18,73,8,4.94,BR,1696645483
149,maceio,-9.6658,-35.7353,24.69,100,75,2.57,BR,1696645207
150,weno,7.4515,151.8468,30.97,79,40,3.6,FM,1696645484
151,opuwo,-18.0607,13.84,19.97,45,0,1.99,NA,1696645484
152,susuman,62.7833,148.1667,-1.12,82,100,2.24,RU,1696645484
153,uturoa,-16.7333,-151.4333,26.19,79,39,6.26,PF,1696645484
154,vila velha,-20.3297,-40.2925,24.97,86,20,6.69,BR,1696645484
155,saint-pierre,-21.3393,55.4781,20.87,64,20,3.6,RE,1696645427
156,ust-tsilma,65.441,52.1498,2.01,92,100,1.34,RU,1696645484
157,olonkinbyen,70.9221,-8.7187,0.54,63,7,6.33,SJ,1696645485
158,yerofey pavlovich,53.9667,121.9667,8.36,50,100,1.0,RU,1696645485
159,dryden,49.7833,-92.7503,4.16,81,20,2.06,CA,1696645485
160,la mira,18.035,-102.3266,27.82,83,91,1.11,MX,1696645485
161,hengchun,22.0042,120.7439,28.06,79,48,6.02,TW,1696645485
162,kismayo,-0.3582,42.5454,25.84,82,8,5.71,SO,1696645485
163,port alfred,-33.5906,26.891,17.88,100,100,1.34,ZA,1696645486
164,shawinigan,46.5668,-72.7491,19.25,94,100,2.06,CA,1696645486
165,puerto lempira,15.2667,-83.7667,27.16,85,28,2.96,HN,1696645486
166,oum hadjer,13.2954,19.6966,27.75,56,92,3.94,TD,1696645486
167,alpine,32.835,-116.7664,26.07,43,0,0.0,US,1696645486
168,mabaruma,8.2,-59.7833,25.33,89,100,1.57,GY,1696645486
169,mao,39.8885,4.2658,19.31,94,0,1.54,ES,1696645487
170,port blair,11.6667,92.75,27.02,89,75,4.12,IN,1696645487
171,sabang,5.8933,95.3214,27.75,75,100,4.05,ID,1696645487
172,najran,17.4924,44.1277,20.36,25,0,1.43,SA,1696645226
173,anbu,23.449,116.6809,22.96,94,75,4.0,CN,1696645487
174,anadyr,64.75,177.4833,1.28,64,75,3.58,RU,1696645487
175,kisangani,0.5167,25.2,22.2,98,100,1.09,CD,1696645487
176,constantia,44.1833,28.65,12.61,52,0,1.83,RO,1696645260
177,brezina,33.0989,1.2608,19.66,24,0,1.6,DZ,1696645488
178,mwene-ditu,-7.0,23.45,21.76,64,100,1.14,CD,1696645488
179,medina de pomar,42.9294,-3.488,15.48,72,0,1.06,ES,1696645488
180,kuusamo,65.9667,29.1833,0.02,100,100,2.57,FI,1696645488
181,tucuma,-0.1833,-50.05,26.17,77,99,4.32,BR,1696645488
182,belo sur tsiribihina,-19.7,44.55,21.82,93,35,1.89,MG,1696645488
183,general acha,-37.377,-64.6043,12.08,29,0,4.27,AR,1696645489
184,tsiombe,-25.3,45.4833,18.41,85,0,1.55,MG,1696645489
185,sitka,57.0531,-135.33,12.94,94,100,3.09,US,1696645489
186,howard springs,-12.497,131.047,33.23,23,63,4.0,AU,1696645489
187,turkmenabat,39.0733,63.5786,9.99,100,0,2.06,TM,1696645489
188,mount gambier,-37.8333,140.7667,14.81,47,49,4.04,AU,1696645489
189,ecoporanga,-18.3733,-40.8306,23.34,78,13,1.96,BR,1696645490
190,lagoa,39.05,-27.9833,19.86,67,3,11.21,PT,1696645490
191,pacific grove,36.6177,-121.9166,26.82,56,0,1.54,US,1696645490
192,jinghong,21.991,100.7341,25.14,86,99,1.23,CN,1696645490
193,amga,60.8953,131.9608,-0.57,92,100,3.58,RU,1696645490
194,worgl,47.4833,12.0667,10.07,93,78,1.77,AT,1696645490
195,kavaratti,10.5669,72.642,27.39,65,25,2.65,IN,1696645490
196,college,64.8569,-147.8028,2.82,91,75,3.09,US,1696645357
197,east london,-33.0153,27.9116,20.27,97,100,2.49,ZA,1696645491
198,kiunga,-6.1219,141.2906,25.99,88,98,1.72,PG,1696645491
199,ende,-8.8432,121.6623,31.46,51,6,1.68,ID,1696645491
200,hermanus,-34.4187,19.2345,14.06,91,99,8.12,ZA,1696645363
201,tolanaro,-25.0319,46.9987,22.04,64,0,10.8,MG,1696645491
202,port mathurin,-19.6833,63.4167,22.82,75,14,7.8,MU,1696645491
203,whangarei,-35.7317,174.3239,16.52,89,100,2.03,NZ,1696645492
204,tonkino,57.3726,46.4629,8.12,96,99,2.05,RU,1696645492
205,sanga-sanga,5.0725,119.7853,28.12,67,51,1.24,PH,1696645492
206,mount isa,-20.7333,139.5,30.87,14,6,6.69,AU,1696645492
207,ilulissat,69.2167,-51.1,6.01,65,100,5.66,GL,1696645492
208,ghat,24.9647,10.1728,22.61,31,5,3.21,LY,1696645492
209,wagar,16.1525,36.2032,29.65,36,0,4.03,SD,1696645492
210,bonthe,7.5264,-12.505,24.45,94,100,1.7,SL,1696645493
211,vila franca do campo,37.7167,-25.4333,20.23,92,96,2.29,PT,1696645493
212,colatina,-19.5394,-40.6306,23.85,84,56,0.78,BR,1696645493
213,buala,-8.145,159.5921,28.27,77,100,2.35,SB,1696645493
214,chopinzinho,-25.8558,-52.5233,20.97,87,37,1.48,BR,1696645493
215,manga,11.6636,-1.0731,24.91,75,60,3.51,BF,1696645493
216,arraial do cabo,-22.9661,-42.0278,22.38,96,99,5.3,BR,1696645494
217,motul,21.1,-89.2833,29.0,85,87,2.02,MX,1696645494
218,nuuk,64.1835,-51.7216,6.34,70,100,28.29,GL,1696645494
219,kavieng,-2.5744,150.7967,28.32,73,97,5.86,PG,1696645494
220,afaahiti,-17.75,-149.2833,27.93,84,99,6.63,PF,1696645494
221,tidjikja,18.5564,-11.4271,30.79,35,76,3.72,MR,1696645287
222,saint-philippe,-21.3585,55.7679,19.77,80,56,5.14,RE,1696645494
223,nova sintra,14.8667,-24.7167,23.64,81,23,2.75,CV,1696645494
224,sungai raya,0.7,108.9,29.78,71,30,2.45,ID,1696645495
225,springs,-26.25,28.4,18.16,57,0,4.17,ZA,1696645495
226,itaituba,-4.2761,-55.9836,30.09,70,0,1.03,BR,1696645495
227,kondagaon,19.6,81.6667,22.24,72,99,1.24,IN,1696645495
228,gozyeri,40.866,32.5417,7.33,86,53,0.66,TR,1696645495
229,nar'yan-mar,67.6713,53.087,0.62,91,11,5.81,RU,1696645495
230,qo'rg'ontepa,40.734,72.7628,15.23,88,100,1.0,UZ,1696645496
231,cole harbour,44.6724,-63.4751,15.71,95,73,2.06,CA,1696645496
232,lastoursville,-0.8143,12.7287,22.27,97,100,0.85,GA,1696645496
233,zhangye,38.9342,100.4517,17.12,32,0,1.2,CN,1696645496
234,ad dilam,23.9915,47.1627,27.23,22,0,1.79,SA,1696645496
235,zyryanskoye,56.8306,86.6258,9.51,81,100,2.29,RU,1696645281
236,wisconsin rapids,44.3836,-89.8174,7.96,80,40,4.63,US,1696645344
237,waingapu,-9.6567,120.2641,30.93,55,0,5.8,ID,1696645497
238,howrah,22.5892,88.3103,28.0,89,40,2.57,IN,1696645497
239,balaklava,44.5,33.6,12.77,46,60,3.45,UA,1696645497
240,reggane,26.7158,0.1714,27.32,25,99,8.78,DZ,1696645497
241,gornopravdinsk,60.05,69.9,9.4,92,100,3.43,RU,1696645497
242,egilsstadir,65.2653,-14.3948,-3.05,86,75,2.57,IS,1696645497
243,masterton,-40.9597,175.6575,13.27,82,100,2.87,NZ,1696645497
244,yur'yev-pol'skiy,56.5,39.6833,1.04,89,57,5.57,RU,1696645498
245,inarajan village,13.2736,144.7484,30.55,93,95,6.38,GU,1696645498
246,herat,34.5,62.0,10.36,74,0,3.71,AF,1696645498
247,rio gallegos,-51.6226,-69.2181,9.03,40,0,13.89,AR,1696645498
248,kwang binh,17.4833,106.6,28.57,76,84,2.51,VN,1696645498
249,shiqian,27.5225,108.2281,14.29,93,100,0.97,CN,1696645499
250,greymouth,-42.4667,171.2,12.48,59,51,5.33,NZ,1696645499
